city1,city2,city3,mint,seasonal
ABQ,0,JFK,0,0
ABQ,JFK,ACK,0,1
ABQ,JFK,ANU,0,0
ABQ,JFK,AUA,1,0
ABQ,JFK,BDA,0,0
ABQ,JFK,BGI,1,0
ABQ,JFK,BOS,0,0
ABQ,JFK,BQN,0,0
ABQ,JFK,BTV,0,0
ABQ,JFK,BUF,0,0
ABQ,JFK,CHS,0,0
ABQ,JFK,CLT,0,0
ABQ,JFK,CUR,0,0
ABQ,JFK,DAB,0,0
ABQ,JFK,FLL,0,0
ABQ,JFK,GCM,0,0
ABQ,JFK,GND,1,1
ABQ,JFK,IAD,0,0
ABQ,JFK,JAX,0,0
ABQ,JFK,KIN,0,0
ABQ,JFK,LRM,0,0
ABQ,JFK,MCO,0,0
ABQ,JFK,MVY,0,1
ABQ,JFK,NAS,0,0
ABQ,JFK,PAP,0,0
ABQ,JFK,PBI,0,0
ABQ,JFK,PLS,0,0
ABQ,JFK,POP,0,0
ABQ,JFK,POS,0,0
ABQ,JFK,PUJ,0,0
ABQ,JFK,PWM,0,0
ABQ,JFK,RDU,0,0
ABQ,JFK,ROC,0,0
ABQ,JFK,SAV,0,0
ABQ,JFK,SDQ,0,0
ABQ,JFK,SJU,0,0
ABQ,JFK,STI,0,0
ABQ,JFK,SXM,0,0
ABQ,JFK,SYR,0,0
ABQ,JFK,TPA,0,0
ABQ,JFK,UVF,1,1
ACK,0,BOS,0,1
ACK,0,DCA,0,1
ACK,0,HPN,0,1
ACK,0,JFK,0,1
ACK,0,LGA,0,1
ACK,BOS,ATL,0,1
ACK,BOS,BNA,0,1
ACK,BOS,BUF,0,1
ACK,BOS,BWI,0,1
ACK,BOS,CHS,0,1
ACK,BOS,CLE,0,1
ACK,BOS,CLT,0,1
ACK,BOS,DCA,0,1
ACK,BOS,DFW,0,1
ACK,BOS,DTW,0,1
ACK,BOS,EWR,0,1
ACK,BOS,FLL,0,1
ACK,BOS,IAD,0,1
ACK,BOS,JFK,0,1
ACK,BOS,LAS,1,1
ACK,BOS,LAX,1,1
ACK,BOS,LGA,0,1
ACK,BOS,LGB,0,1
ACK,BOS,MCO,0,1
ACK,BOS,MSP,0,1
ACK,BOS,ORD,0,1
ACK,BOS,PBI,0,1
ACK,BOS,PDX,0,1
ACK,BOS,PHL,0,1
ACK,BOS,PHX,0,1
ACK,BOS,PIT,0,1
ACK,BOS,RDU,0,1
ACK,BOS,RIC,0,1
ACK,BOS,RSW,0,1
ACK,BOS,SAN,1,1
ACK,BOS,SAV,0,1
ACK,BOS,SDQ,0,1
ACK,BOS,SEA,1,1
ACK,BOS,SFO,1,1
ACK,BOS,SJC,0,1
ACK,BOS,SJU,0,1
ACK,BOS,SLC,0,1
ACK,BOS,STI,0,1
ACK,BOS,SYR,0,1
ACK,BOS,TPA,0,1
ACK,DCA,CHS,0,1
ACK,DCA,FLL,0,1
ACK,DCA,MCO,0,1
ACK,JFK,ABQ,0,1
ACK,JFK,ANU,0,1
ACK,JFK,ATL,0,1
ACK,JFK,AUA,1,1
ACK,JFK,AUS,0,1
ACK,JFK,BDA,0,1
ACK,JFK,BGI,1,1
ACK,JFK,BQN,0,1
ACK,JFK,BTV,0,1
ACK,JFK,BUF,0,1
ACK,JFK,BUR,0,1
ACK,JFK,CHS,0,1
ACK,JFK,CLT,0,1
ACK,JFK,CUN,0,1
ACK,JFK,CUR,0,1
ACK,JFK,DEN,0,1
ACK,JFK,FLL,0,1
ACK,JFK,HOU,0,1
ACK,JFK,IAD,0,1
ACK,JFK,JAX,0,1
ACK,JFK,KIN,0,1
ACK,JFK,LAS,1,1
ACK,JFK,LAX,1,1
ACK,JFK,LGB,0,1
ACK,JFK,LRM,0,1
ACK,JFK,MBJ,0,1
ACK,JFK,MCO,0,1
ACK,JFK,MSY,0,1
ACK,JFK,NAS,0,1
ACK,JFK,OAK,0,1
ACK,JFK,ONT,0,1
ACK,JFK,ORD,0,1
ACK,JFK,PAP,0,1
ACK,JFK,PBI,0,1
ACK,JFK,PDX,0,1
ACK,JFK,PHX,0,1
ACK,JFK,POS,0,1
ACK,JFK,PSE,0,1
ACK,JFK,PSP,1,1
ACK,JFK,PUJ,0,1
ACK,JFK,RDU,0,1
ACK,JFK,RNO,0,1
ACK,JFK,ROC,0,1
ACK,JFK,RSW,0,1
ACK,JFK,SAN,1,1
ACK,JFK,SAV,0,1
ACK,JFK,SDQ,0,1
ACK,JFK,SEA,1,1
ACK,JFK,SFO,1,1
ACK,JFK,SJC,0,1
ACK,JFK,SJU,0,1
ACK,JFK,SLC,0,1
ACK,JFK,SMF,0,1
ACK,JFK,STI,0,1
ACK,JFK,SYR,0,1
ACK,JFK,TPA,0,1
ALB,0,FLL,0,0
ALB,0,MCO,0,0
ALB,FLL,ATL,0,0
ALB,FLL,BOG,0,0
ALB,FLL,BQN,0,0
ALB,FLL,CHS,0,0
ALB,FLL,JAX,0,0
ALB,FLL,MDE,0,0
ALB,FLL,SDQ,0,0
ALB,FLL,SJU,0,0
ALB,MCO,BOG,0,0
ALB,MCO,BQN,0,0
ALB,MCO,LAX,0,0
ALB,MCO,PSE,0,0
ALB,MCO,SDQ,0,0
ALB,MCO,SJU,0,0
ALB,MCO,SLC,0,0
ANC,0,PDX,0,1
ANC,0,SEA,0,1
ANC,PDX,LGB,0,1
ANC,SEA,BOS,1,1
ANC,SEA,LGB,0,1
ANU,0,JFK,0,0
ANU,JFK,BOS,0,0
ANU,JFK,BTV,0,0
ANU,JFK,BUF,0,0
ANU,JFK,IAD,0,0
ANU,JFK,LAX,1,0
ANU,JFK,ORH,0,0
ANU,JFK,PWM,0,0
ANU,JFK,ROC,0,0
ANU,JFK,SFO,1,0
